Type_code,Type,amount,nameOrig,nameDest,Date,Orig_Location,Dest_Location,isFraud
1,CASH_IN,1000,315,315,30-Jun-20,US_LASV,US_LASV,0
1,CASH_IN,6000,317,317,30-Jun-20,US_LASV,US_LASV,0
1,CASH_IN,2000,316,316,30-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,315,320,30-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,3000,317,322,30-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,3000,317,323,30-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,316,324,30-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,322,320,30-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,500,323,324,30-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1500,320,327,30-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,500,320,328,30-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,322,328,30-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,322,329,30-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,500,323,329,30-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,323,330,29-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2500,324,331,29-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1500,327,333,29-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1500,328,333,29-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1500,329,334,29-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,330,350,29-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2500,331,350,29-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,500,350,334,29-Jun-20,US_LASV,US_LASV,0
4,CASH_OUT,4000,350,361,29-Jun-20,US_LASV,US_LASV,0
4,CASH_OUT,2000,334,361,29-Jun-20,US_LASV,US_LASV,0
4,CASH_OUT,3000,333,361,29-Jun-20,US_LASV,US_LASV,0
1,CASH_IN,11000,303,303,29-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,4000,303,356,29-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,7000,303,357,29-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,356,358,29-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,356,359,29-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,3000,357,359,29-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,4000,357,360,29-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,359,358,29-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,3000,358,361,29-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,4000,359,362,29-Jun-20,US_LASV,US_NEWJ,0
2,TRANSFER,4000,360,363,29-Jun-20,US_LASV,US_NEWJ,0
2,TRANSFER,1000,363,362,29-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,500,362,361,29-Jun-20,US_NEWJ,US_LASV,0
2,TRANSFER,3500,361,366,29-Jun-20,US_LASV,US_NEWJ,0
2,TRANSFER,2000,362,366,29-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,2500,362,367,29-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,3000,363,367,29-Jun-20,US_NEWJ,US_NEWJ,0
4,CASH_OUT,5500,366,368,29-Jun-20,US_NEWJ,US_NEWJ,0
4,CASH_OUT,5500,367,368,29-Jun-20,US_NEWJ,US_NEWJ,0
1,CASH_IN,2000,321,321,29-Jun-20,US_LASV,US_LASV,0
1,CASH_IN,3000,326,326,29-Jun-20,US_LASV,US_LASV,0
1,CASH_IN,2000,328,328,29-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,321,329,29-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,326,329,29-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,326,330,29-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,328,330,29-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,329,331,29-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,329,332,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,329,333,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,330,331,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,330,332,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,330,333,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,331,334,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,332,334,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,332,336,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,3000,333,336,28-Jun-20,US_LASV,US_LASV,0
4,CASH_OUT,3000,334,337,28-Jun-20,US_LASV,US_LASV,0
4,CASH_OUT,4000,336,337,28-Jun-20,US_LASV,US_LASV,0
1,CASH_IN,1000,301,301,28-Jun-20,US_LASV,US_LASV,0
1,CASH_IN,2000,302,302,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,301,309,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,302,309,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,302,310,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,309,311,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,310,312,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,500,311,312,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1500,311,319,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1500,312,321,28-Jun-20,US_LASV,US_LASV,0
4,CASH_OUT,1500,319,323,28-Jun-20,US_LASV,US_LASV,0
4,CASH_OUT,1500,321,323,28-Jun-20,US_LASV,US_LASV,0
1,CASH_IN,4000,306,306,28-Jun-20,US_LASV,US_LASV,0
1,CASH_IN,3000,307,307,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,306,308,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,306,309,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,307,310,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,307,311,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,500,311,310,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,308,312,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,309,313,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1500,310,315,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1500,311,317,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,313,312,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,3000,312,318,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,313,319,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1500,315,320,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1500,317,321,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,318,319,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,318,322,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,319,323,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,319,324,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1500,320,325,28-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1500,321,325,27-Jun-20,US_LASV,US_LASV,0
4,CASH_OUT,2000,322,326,27-Jun-20,US_LASV,US_LASV,0
4,CASH_OUT,1000,323,326,27-Jun-20,US_LASV,US_LASV,0
4,CASH_OUT,2000,324,327,27-Jun-20,US_LASV,US_LASV,0
4,CASH_OUT,3000,325,327,27-Jun-20,US_LASV,US_LASV,0
1,CASH_IN,500,380,380,27-Jun-20,US_NEWJ,US_NEWJ,0
1,CASH_IN,6000,381,381,27-Jun-20,US_NEWJ,US_NEWJ,0
1,CASH_IN,3500,382,382,27-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,500,380,386,27-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,3000,381,387,27-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,3000,381,388,27-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,3000,382,388,27-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,500,382,389,27-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,2500,387,386,27-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,500,387,388,27-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,3000,388,389,27-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,3000,386,390,27-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,3500,388,392,27-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,3500,389,396,27-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,2000,390,301,27-Jun-20,US_NEWJ,US_LASV,0
2,TRANSFER,1000,390,302,27-Jun-20,US_NEWJ,US_LASV,0
2,TRANSFER,1500,392,302,27-Jun-20,US_NEWJ,US_LASV,0
2,TRANSFER,2000,392,303,27-Jun-20,US_NEWJ,US_LASV,0
2,TRANSFER,2000,396,304,27-Jun-20,US_NEWJ,US_LASV,0
2,TRANSFER,1500,396,306,27-Jun-20,US_NEWJ,US_LASV,0
2,TRANSFER,2000,301,311,27-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1500,306,310,27-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,500,304,310,27-Jun-20,US_LASV,US_LASV,0
4,CASH_OUT,2000,311,327,27-Jun-20,US_LASV,US_LASV,0
4,CASH_OUT,2000,303,309,27-Jun-20,US_LASV,US_LASV,0
4,CASH_OUT,1500,304,309,27-Jun-20,US_LASV,US_LASV,0
4,CASH_OUT,2000,310,327,27-Jun-20,US_LASV,US_LASV,0
4,CASH_OUT,2500,302,308,27-Jun-20,US_LASV,US_LASV,0
1,CASH_IN,4000,326,326,27-Jun-20,US_LASV,US_LASV,0
1,CASH_IN,3000,327,327,27-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,4000,326,374,27-Jun-20,US_LASV,US_NEWJ,0
2,TRANSFER,1000,327,374,27-Jun-20,US_LASV,US_NEWJ,0
2,TRANSFER,2000,327,372,27-Jun-20,US_LASV,US_NEWJ,0
2,TRANSFER,2000,374,328,27-Jun-20,US_NEWJ,US_LASV,0
2,TRANSFER,1000,374,329,27-Jun-20,US_NEWJ,US_LASV,0
2,TRANSFER,2000,374,375,27-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,2000,372,330,27-Jun-20,US_NEWJ,US_LASV,0
2,TRANSFER,1000,328,382,27-Jun-20,US_LASV,US_NEWJ,0
2,TRANSFER,1000,328,333,27-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,500,329,386,27-Jun-20,US_LASV,US_NEWJ,0
2,TRANSFER,500,329,302,27-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,372,330,26-Jun-20,US_NEWJ,US_LASV,0
2,TRANSFER,1000,330,331,26-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,330,332,26-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,500,331,302,26-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,500,331,313,26-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,332,313,26-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,382,363,26-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,1000,333,262,26-Jun-20,US_LASV,US_TEX,0
2,TRANSFER,500,386,363,26-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,1000,302,398,26-Jun-20,US_LASV,US_NEWJ,0
2,TRANSFER,1500,313,396,26-Jun-20,US_LASV,US_NEWJ,0
4,CASH_OUT,2000,375,399,26-Jun-20,US_NEWJ,US_NEWJ,0
4,CASH_OUT,2500,363,306,26-Jun-20,US_NEWJ,US_LASV,0
4,CASH_OUT,500,398,306,26-Jun-20,US_NEWJ,US_LASV,0
4,CASH_OUT,500,398,318,26-Jun-20,US_NEWJ,US_LASV,0
4,CASH_OUT,1500,396,318,26-Jun-20,US_NEWJ,US_LASV,0
1,CASH_IN,5000,311,311,26-Jun-20,US_LASV,US_LASV,0
1,CASH_IN,6000,398,398,26-Jun-20,US_NEWJ,US_NEWJ,0
1,CASH_IN,4000,399,399,26-Jun-20,US_NEWJ,US_NEWJ,0
1,CASH_IN,5000,392,392,26-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,5000,311,312,26-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,6000,398,313,26-Jun-20,US_NEWJ,US_LASV,0
2,TRANSFER,4000,399,314,26-Jun-20,US_NEWJ,US_LASV,0
2,TRANSFER,5000,392,315,26-Jun-20,US_NEWJ,US_LASV,0
2,TRANSFER,3000,313,312,26-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,3000,313,314,26-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,315,314,26-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,3000,312,317,26-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,5000,312,318,26-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,5000,314,318,26-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,315,318,26-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,315,319,26-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,318,317,26-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,318,319,26-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,317,320,26-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,317,321,26-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,9000,318,321,26-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,319,321,26-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,319,327,26-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,321,320,25-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,321,327,25-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,320,329,25-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,3000,320,330,25-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,4000,321,330,25-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,6000,321,331,25-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,1000,327,331,25-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,3000,327,332,25-Jun-20,US_LASV,US_LASV,0
4,CASH_OUT,1000,329,342,25-Jun-20,US_LASV,US_LASV,0
4,CASH_OUT,7000,330,346,25-Jun-20,US_LASV,US_LASV,0
4,CASH_OUT,7000,331,342,25-Jun-20,US_LASV,US_LASV,0
4,CASH_OUT,3000,332,346,25-Jun-20,US_LASV,US_LASV,0
4,CASH_OUT,2000,314,346,25-Jun-20,US_LASV,US_LASV,0
1,CASH_IN,8000,328,328,25-Jun-20,US_LASV,US_LASV,0
1,CASH_IN,9000,342,342,25-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,500,342,328,25-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,4000,328,329,25-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,4500,328,340,25-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,4000,342,340,25-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,4500,342,346,25-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,4000,329,350,25-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,4000,340,350,25-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,340,351,25-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2500,340,360,25-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2000,346,360,25-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,2500,346,361,25-Jun-20,US_LASV,US_LASV,0
2,TRANSFER,6000,350,370,25-Jun-20,US_LASV,US_NEWJ,0
2,TRANSFER,2000,350,371,25-Jun-20,US_LASV,US_NEWJ,0
2,TRANSFER,4500,360,372,25-Jun-20,US_LASV,US_NEWJ,0
2,TRANSFER,2500,361,371,25-Jun-20,US_LASV,US_NEWJ,0
2,TRANSFER,6000,370,380,25-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,4000,371,385,25-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,4000,372,385,25-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,500,372,386,25-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,2500,373,386,25-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,500,385,380,25-Jun-20,US_NEWJ,US_NEWJ,0
2,TRANSFER,500,385,386,25-Jun-20,US_NEWJ,US_NEWJ,0
4,CASH_OUT,6500,380,389,25-Jun-20,US_NEWJ,US_NEWJ,0
4,CASH_OUT,3500,385,389,25-Jun-20,US_NEWJ,US_NEWJ,0
4,CASH_OUT,3500,385,390,25-Jun-20,US_NEWJ,US_NEWJ,0
